                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1038,                 0.6405,                 1.1393,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1502,                0.65807,                 1.1164,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0764,                0.69102,                 1.1066,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1352,                0.65017,                 1.1542,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.101,                0.64274,                 1.1275,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                 1.1162,                0.57937,                 1.1343,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0906,                0.56423,                 1.1588,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0738,                0.56187,                 1.1159,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0866,                0.54469,                 1.1294,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0268,                0.54877,                  1.096,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     47,                  1.024,                0.54291,                 1.0958,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.9945,                0.52101,                 1.0859,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0719,                0.63082,                 1.1017,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.99707,                0.52473,                 1.0655,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
